Sentence,Typicality,Rating,Item
The mechanic checked the groceries.,AT,2.3,202
The mechanic checked the tire.,T,6.7,202
The mechanic fixed the roof.,AT,2.1,203
The mechanic fixed the tire.,T,6.45,203
The mechanic rented the boat.,AT,2.35,204
The mechanic rented the truck.,T,4.2,204
The mechanic spread the chocolate.,AT,1.65,205
The mechanic spread the coating.,T,3.65,205
The milkman carried the flag.,AT,2.6,206
The milkman carried the bottle.,T,6.7,206
The model faced the mountain.,AT,2.75,207
The model faced the camera.,T,6.9,207
The monkey grabbed the board.,AT,2.15,208
The monkey grabbed the banana.,T,6.15,208
The mother decorated the car.,AT,2.7,209
The mother decorated the house.,T,6.45,209
The mother held the flag.,AT,3.2,210
The mother held the child.,T,6.9,210
The mother hung the rifle.,AT,2.35,211
The mother hung the laundry.,T,5.8,211
The mother prepared the gun.,AT,3.05,212
The mother prepared the food.,T,6.4,212
The mother pushed the trash can.,AT,3.8,213
The mother pushed the stroller.,T,6.1,213
The mover moved the horse.,AT,2.85,214
The mover moved the furniture.,T,4.9,214
The musician entertained the demonstrator.,AT,4.2,215
The musician entertained the crowd.,T,6.4,215
The musician held the stone.,AT,1.6,216
The musician held the guitar.,T,6.55,216
The musician played the soccer.,AT,1.95,217
The musician played the song.,T,6.35,217
The musician read the menu.,AT,2.45,218
The musician read the music.,T,6.35,218
The musician touched the base.,AT,3.95,219
The musician touched the instrument.,T,6.4,219
The nanny heard the speech.,AT,3.2,220
The nanny heard the baby.,T,6.35,220
The nanny watched the landscape.,AT,4.05,221
The nanny watched the child.,T,6.35,221
The nurse handed the hose.,AT,2.35,222
The nurse handed the lancet.,T,5.8,222
The nurse pushed the mower.,AT,1.45,223
The nurse pushed the wheelchair.,T,5.9,223
The nurse washed the car.,AT,2.45,224
The nurse washed the infant.,T,6.45,224
The painter completed the race.,AT,2,225
The painter completed the painting.,T,6.35,225
The painter decorated the cake.,AT,2.6,226
The painter decorated the wall.,T,6.6,226
The painter mixed the drink.,AT,2.8,227
The painter mixed the paint.,T,6.35,227
The painter painted the toenail.,AT,2.45,228
The painter painted the picture.,T,6.7,228
The painter signed the agreement.,AT,3.65,229
The painter signed the paint.,T,5.9,229
The parent gave the gun.,AT,1.85,230
The parent gave the present.,T,5.7,230
The passenger bought the table.,AT,2.25,231
The passenger bought the ticket.,T,6.5,231
The passenger passed the ball.,AT,2.05,232
The passenger passed the check.,T,3.75,232
The passenger pulled the corpse.,AT,1.45,233
The passenger pulled the suitcase.,T,5.6,233
The patient fought the fire.,AT,1.95,234
The patient fought the cancer.,T,5.65,234
The patient reported the crime.,AT,2.25,235
The patient reported the symptom.,T,6.7,235
The philologist examined the camera.,AT,2.3,236
The philologist examined the book.,T,6.2,236
The photographer captured the thief.,AT,1.75,237
The photographer captured the image.,T,6.95,237
The photographer examined the dog.,AT,1.75,238
The photographer examined the camera.,T,6.7,238
The photographer prepared the food.,AT,2.7,239
The photographer prepared the camera.,T,6.4,239
The photographer used the stethoscope.,AT,1.75,240
The photographer used the camera.,T,6.65,240
The pilot began the performance.,AT,2.4,241
The pilot began the race.,T,4.8,241
The pilot started the concert.,AT,1.6,242
The pilot started the race.,T,2.95,242
The pilot won the lottery.,AT,2.8,243
The pilot won the race.,T,4.8,243
The player began the class.,AT,3.3,244
The player began the match.,T,5.7,244
The player enjoyed the beer.,AT,4.5,245
The player enjoyed the game.,T,6.65,245
The player gained the degree.,AT,3.2,246
The player gained the ball.,T,5.45,246
The player gathered the grass.,AT,2.4,247
The player gathered the ball.,T,5.55,247
The player passed the exam.,AT,4.45,248
The player passed the ball.,T,6.4,248
The player reached the moon.,AT,1.6,249
The player reached the goal.,T,6.45,249
The player touched the flower.,AT,1.7,250
The player touched the base.,T,5.5,250
The poet wrote the menu.,AT,1.75,251
The poet wrote the sonet.,T,5.8,251
The policeman captured the image.,AT,2.9,252
The policeman captured the thief.,T,6.8,252
The policeman checked the groceries.,AT,2,253
The policeman checked the bag.,T,5.55,253
The policeman examined the patient.,AT,2,254
The policeman examined the car.,T,5.95,254
The policeman fought the obesity.,AT,2.35,255
The policeman fought the crime.,T,6.4,255
The policeman hit the ball.,AT,2.7,256
The policeman hit the demonstrator.,T,4.75,256
The policeman pushed the stroller.,AT,2.6,257
The policeman pushed the demonstrator.,T,4.6,257
The politician signed the paint.,AT,2.25,258
The politician signed the agreement.,T,6.35,258
The porter carried the flag.,AT,2.65,259
The porter carried the bag.,T,5.1,259
The porter loaded the file.,AT,2.8,260
The porter loaded the luggage.,T,6.5,260
The porter stacked the wood.,AT,4,261
The porter stacked the suitcase.,T,5.5,261
The postman delivered the punch.,AT,2.7,262
The postman delivered the mail.,T,6.55,262
The president delivered the kick.,AT,2.9,263
The president delivered the speech.,T,6.8,263
The president gave the book.,AT,3.75,264
The president gave the speech.,T,6.8,264
The president promised the bicycle.,AT,2.25,265
The president promised the reform.,T,6.2,265
The president visited the grandmother.,AT,4.45,266
The president visited the school.,T,4.25,266
The priest celebrated the graduation.,AT,3.85,267
The priest celebrated the marriage.,T,6.5,267
The priest promised the promotion.,AT,2.2,268
The priest promised the salvation.,T,6.05,268
The priest taught the chemistry.,AT,1.85,269
The priest taught the bible.,T,6.8,269
The producer released the prisoner.,AT,1.6,270
The producer released the film.,T,6.3,270
The professor delivered the kick.,AT,1.65,271
The professor delivered the lecture.,T,6.6,271
The professor donated the organ.,AT,2.35,272
The professor donated the book.,T,4.8,272
The professor opened the jail.,AT,1.2,273
The professor opened the congress.,T,3,273
The professor taught the karate.,AT,3.25,274
The professor taught the language.,T,6,274
The professor wore the goggles.,AT,4.7,275
The professor wore the tie.,T,5.95,275
The professor wrote the magazine.,AT,3.6,276
The professor wrote the book.,T,5.5,276
The programmer described the monument.,AT,2.95,277
The programmer described the software.,T,5.55,277
The programmer loaded the ammunition.,AT,1.75,278
The programmer loaded the file.,T,6.65,278
The programmer used the shovel.,AT,3.15,279
The programmer used the computer.,T,7,279
The pupil drew the turbine.,AT,2.95,280
The pupil drew the flower.,T,4.85,280
The pusher sold the chocolate.,AT,3,281
The pusher sold the drug.,T,5.85,281
The pyromaniac started the computer.,AT,1.8,282
The pyromaniac started the fire.,T,6.2,282
The receiver caught the wave.,AT,2.05,283
The receiver caught the baseball.,T,4.75,283
The referee moved the furniture.,AT,1.7,284
The referee moved the ball.,T,5.05,284
The refugee found the doll.,AT,3.15,285
The refugee found the shelter.,T,6,285
The reporter brought the cake.,AT,1.85,286
The reporter brought the news.,T,6.8,286
The reporter held the knife.,AT,1.85,287
The reporter held the camera.,T,4.5,287
The roofer climbed the rock.,AT,2.15,288
The roofer climbed the ladder.,T,6.6,288
The sailor faced the wall.,AT,2.1,289
The sailor faced the ocean.,T,6.75,289
The sailor mopped the classroom.,AT,3.2,290
The sailor mopped the deck.,T,4.6,290
The sailor tied the necktie.,AT,3.5,291
The sailor tied the rope.,T,6.25,291
The salesperson sent the gun.,AT,2.3,292
The salesperson sent the questionnaire.,T,3.45,292
The scientist reported the marriage.,AT,1.65,293
The scientist reported the finding.,T,6.4,293
The scoutmaster assembled the sailboat.,AT,4.25,294
The scoutmaster assembled the tent.,T,4.7,294
The sculptor carved the meat.,AT,2.45,295
The sculptor carved the stone.,T,5.55,295
The sculptor taught the skydiving.,AT,1.15,296
The sculptor taught the art.,T,5.85,296
The secretary wrote the sonet.,AT,3.55,297
The secretary wrote the note.,T,6.45,297
The sergeant assigned the homework.,AT,2.3,298
The sergeant assigned the mission.,T,6.6,298
The singer began the race.,AT,3.4,299
The singer began the performance.,T,6.5,299
The singer held the sword.,AT,1.5,300
The singer held the microphone.,T,6.55,300
The singer performed the trick.,AT,2,301
The singer performed the music.,T,6.7,301
The singer recorded the recipe.,AT,1.65,302
The singer recorded the song.,T,6.8,302
The singer started the videogame.,AT,3.2,303
The singer started the concert.,T,5.4,303
The skater rode the bus.,AT,3.9,304
The skater rode the skates.,T,6.25,304
The skier gained the ball.,AT,2.05,305
The skier gained the speed.,T,6.75,305
The skipper assembled the bicycle.,AT,2.15,306
The skipper assembled the sailboat.,T,3.8,306
The smuggler sold the flower.,AT,2.4,307
The smuggler sold the weapon.,T,6.5,307
The snowboarder flipped the bike.,AT,3.45,308
The snowboarder flipped the board.,T,6.6,308
The soldier carried the ball.,AT,1.7,309
The soldier carried the rifle.,T,7,309
The soldier celebrated the graduation.,AT,3.9,310
The soldier celebrated the victory.,T,5.2,310
The soldier checked the burner.,AT,2.2,311
The soldier checked the rifle.,T,6.85,311
The soldier crossed the stage.,AT,2.45,312
The soldier crossed the river.,T,4.5,312
The soldier dug the pool.,AT,2.5,313
The soldier dug the trench.,T,5.15,313
The soldier fought the cancer.,AT,3.1,314
The soldier fought the enemy.,T,5.95,314
The soldier gathered the ball.,AT,1.75,315
The soldier gathered the ammunition.,T,6.25,315
The soldier gathered the grass.,AT,2.75,316
The soldier gathered the flag.,T,4.7,316
The soldier heard the poem.,AT,3.1,317
The soldier heard the command.,T,6.1,317
The soldier held the comb.,AT,3.65,318
The soldier held the flag.,T,5.2,318
The soldier hung the picture.,AT,3.2,319
The soldier hung the rifle.,T,5.8,319
The soldier reached the supermarket.,AT,3,320
The soldier reached the trench.,T,6.25,320
The soldier released the film.,AT,1.9,321
The soldier released the prisoner.,T,4.3,321
The soldier threw the ball.,AT,2.3,322
The soldier threw the bomb.,T,5.55,322
The soldier used the brush.,AT,3.8,323
The soldier used the knife.,T,5.05,323
The soldier wore the jeans.,AT,3.85,324
The soldier wore the helmet.,T,6.5,324
The soldier wore the pajamas.,AT,3.5,325
The soldier wore the uniform.,T,6.9,325
The speaker entertained the dog.,AT,3.15,326
The speaker entertained the audience.,T,5.9,326
The spectator bought the car.,AT,2.8,327
The spectator bought the ticket.,T,6.45,327
The spectator enjoyed the breakfast.,AT,4.25,328
The spectator enjoyed the game.,T,6.05,328
The spectator heard the horn.,AT,4.75,329
The spectator heard the speech.,T,4.4,329
The spectator watched the bird.,AT,5.25,330
The spectator watched the game.,T,6.6,330
The speleologist examined the book.,AT,3.65,331
The speleologist examined the cave.,T,6,331
The spy passed the frisbee.,AT,1.55,332
The spy passed the information.,T,6.35,332
The student began the match.,AT,3.5,333
The student began the trip.,T,3.5,333
The student celebrated the marriage.,AT,3.45,334
The student celebrated the graduation.,T,6.7,334
The student completed the marathon.,AT,3.65,335
The student completed the project.,T,5.9,335
The student drank the gasoline.,AT,1.6,336
The student drank the beer.,T,4.6,336
The student drank the milk.,AT,4.9,337
The student drank the coffee.,T,4.95,337
The student enjoyed the marriage.,AT,3.6,338
The student enjoyed the beer.,T,4.7,338
The student heard the command.,AT,4.45,339
The student heard the lecture.,T,6.75,339
The student passed the river.,AT,2.95,340
The student passed the exam.,T,6.35,340
The student read the hand.,AT,2.4,341
The student read the book.,T,6.6,341
The student sent the bomb.,AT,1.2,342
The student sent the email.,T,6.1,342
The student threw the garbage.,AT,3.25,343
The student threw the frisbee.,T,4.7,343
The student used the saw.,AT,2.9,344
The student used the computer.,T,6.35,344
The student wore the armor.,AT,3.05,345
The student wore the glasses.,T,5.775,345
The surfer caught the baseball.,AT,1.75,346
The surfer caught the wave.,T,7,346
The surfer flipped the pancake.,AT,2.55,347
The surfer flipped the board.,T,5,347
The surfer grabbed the frisbee.,AT,3.45,348
The surfer grabbed the board.,T,5.3,348
The surfer rode the camel.,AT,1.45,349
The surfer rode the wave.,T,6.2,349
The surfer wore the tie.,AT,2,350
The surfer wore the sunglasses.,T,5.95,350
The surfer wore the tuxedo.,AT,2.1,351
The surfer wore the swimsuit.,T,6.25,351
The surgeon examined the car.,AT,1.2,352
The surgeon examined the patient.,T,6.05,352
The surgeon performed the dance.,AT,2.4,353
The surgeon performed the surgery.,T,6.85,353
The surgeon used the rifle.,AT,1.9,354
The surgeon used the lancet.,T,4.95,354
The sweeper cleaned the window.,AT,3.9,355
The sweeper cleaned the street.,T,6.5,355
The swimmer wore the cloak.,AT,3.1,356
The swimmer wore the goggles.,T,6.2,356
The tailor sewed the wound.,AT,1.6,357
The tailor sewed the dress.,T,6.55,357
The teacher explained the tactic.,AT,4.55,358
The teacher explained the exercise.,T,6.9,358
The teacher gave the drug.,AT,1.4,359
The teacher gave the homework.,T,6.85,359
The teacher helped the patient.,AT,1.95,360
The teacher helped the child.,T,6.1,360
The teacher lent the gun.,AT,1.85,361
The teacher lent the book.,T,6.15,361
The teacher used the knife.,AT,2.85,362
The teacher used the blackboard.,T,5.95,362
The teenager heard the lecture.,AT,4.65,363
The teenager heard the music.,T,6.4,363
The terrorist released the book.,AT,1.8,364
The terrorist released the hostage.,T,3.45,364
The thief grabbed the banana.,AT,3.7,365
The thief grabbed the money.,T,5,365
The tourist read the bible.,AT,3,366
The tourist read the map.,T,6.4,366
The tourist rode the skates.,AT,3.7,367
The tourist rode the camel.,T,4.55,367
The tourist visited the patient.,AT,3,368
The tourist visited the museum.,T,5.95,368
The traveller checked the groceries.,AT,4.2,369
The traveller checked the bag.,T,6,369
The traveller checked the team.,AT,3,370
The traveller checked the watch.,T,4.4,370
The traveller handed the screwdriver.,AT,2.1,371
The traveller handed the bag.,T,5.8,371
The truck hit the bag.,AT,3.1,372
The truck hit the car.,T,4,372
The truck plowed the garden.,AT,2.3,373
The truck plowed the snow.,T,4.65,373
The undertaker dug the trench.,AT,3.2,374
The undertaker dug the grave.,T,4.15,374
The usurer lent the toy.,AT,1.9,375
The usurer lent the money.,T,5.2,375
The vandal sprayed the perfume.,AT,1.85,376
The vandal sprayed the paint.,T,6.2,376
The veterinarian examined the plant.,AT,2.2,377
The veterinarian examined the dog.,T,6.85,377
The violinist played the trumpet.,AT,3,378
The violinist played the violin.,T,6.9,378
The violinist wore the helmet.,AT,3.05,379
The violinist wore the tuxedo.,T,5.9,379
The volunteer brought the hatchet.,AT,1.75,380
The volunteer brought the food.,T,6.1,380
The waiter brought the guitar.,AT,1.55,381
The waiter brought the glass.,T,6.8,381
The waiter carried the rifle.,AT,1.55,382
The waiter carried the tray.,T,6.35,382
The waiter cleared the road.,AT,2.9,383
The waiter cleared the bar.,T,6.05,383
The waiter cleared the tube.,AT,2.6,384
The waiter cleared the table.,T,6.25,384
The waiter cut the hair.,AT,1.45,385
The waiter cut the cake.,T,4.85,385
The waiter delivered the speech.,AT,1.6,386
The waiter delivered the drink.,T,6.35,386
The waiter fetched the ball.,AT,1.85,387
The waiter fetched the water.,T,6.2,387
The waiter held the flag.,AT,3.5,388
The waiter held the bottle.,T,6.15,388
The waiter mixed the cement.,AT,1.5,389
The waiter mixed the drink.,T,5.4,389
The waiter opened the sarcophagus.,AT,1.35,390
The waiter opened the bottle.,T,6.25,390
The waiter poured the gasoline.,AT,1.4,391
The waiter poured the wine.,T,6.6,391
The waiter prepared the bomb.,AT,1.1,392
The waiter prepared the drink.,T,6.4,392
The witness explained the equation.,AT,1.8,393
The witness explained the circumstances.,T,5.6,393
The witness reported the birth.,AT,2.4,394
The witness reported the crime.,T,6.4,394
The woman carried the stone.,AT,3.1,395
The woman carried the bag.,T,6.25,395
The woman opened the manhole.,AT,2.4,396
The woman opened the bag.,T,6.45,396
The woman painted the sign.,AT,3.55,397
The woman painted the toenail.,T,6.1,397